"ID товара"	"Название товара или услуги"	"ID варианта"	"Внешний ID"	"Цена продажи"	"Параметр: Ссылка на донер"	"Параметр: Суррогатный артикул"
345337799	"Дверь Альта / Цвет Эмаль белый / Двери Belwooddoors"	585280025	585280025	12213	"https://belwooddoors.ru/catalog/mezhkomnatnye_dveri/emal/narvika/alta-polotno-glukhoe-raspashnaya/"	"91a805f77fde10e09ecafed1fc19b6f4"
345337799	"Дверь Альта / Цвет Эмаль белый / Двери Belwooddoors"	585280055	585280055	11746	"https://belwooddoors.ru/catalog/mezhkomnatnye_dveri/emal/narvika/alta-polotno-glukhoe-raspashnaya/"	"91a805f77fde10e09ecafed1fc19b6f4"
345337799	"Дверь Альта / Цвет Эмаль белый / Двери Belwooddoors"	585280060	585280060	11746	"https://belwooddoors.ru/catalog/mezhkomnatnye_dveri/emal/narvika/alta-polotno-glukhoe-raspashnaya/"	"91a805f77fde10e09ecafed1fc19b6f4"
345337799	"Дверь Альта / Цвет Эмаль белый / Двери Belwooddoors"	585280065	585280065	11746	"https://belwooddoors.ru/catalog/mezhkomnatnye_dveri/emal/narvika/alta-polotno-glukhoe-raspashnaya/"	"91a805f77fde10e09ecafed1fc19b6f4"
345337800	"Дверь Альта / Цвет Эмаль графит / Двери Belwooddoors"	585280027	585280027	13508	"https://belwooddoors.ru/catalog/mezhkomnatnye_dveri/emal/narvika/alta-polotno-glukhoe-raspashnaya/"	"18a8955c10d3581aae250ad5ea1a5d3c"
345337800	"Дверь Альта / Цвет Эмаль графит / Двери Belwooddoors"	585280056	585280056	13508	"https://belwooddoors.ru/catalog/mezhkomnatnye_dveri/emal/narvika/alta-polotno-glukhoe-raspashnaya/"	"18a8955c10d3581aae250ad5ea1a5d3c"
345337800	"Дверь Альта / Цвет Эмаль графит / Двери Belwooddoors"	585280061	585280061	13508	"https://belwooddoors.ru/catalog/mezhkomnatnye_dveri/emal/narvika/alta-polotno-glukhoe-raspashnaya/"	"18a8955c10d3581aae250ad5ea1a5d3c"
345337800	"Дверь Альта / Цвет Эмаль графит / Двери Belwooddoors"	585280066	585280066	13508	"https://belwooddoors.ru/catalog/mezhkomnatnye_dveri/emal/narvika/alta-polotno-glukhoe-raspashnaya/"	"18a8955c10d3581aae250ad5ea1a5d3c"
345337804	"Дверь Альта / Цвет Эмаль жемчуг / Двери Belwooddoors"	585280034	585280034	11746	"https://belwooddoors.ru/catalog/mezhkomnatnye_dveri/emal/narvika/alta-polotno-glukhoe-raspashnaya/"	"aaf063abf0c9c0b334c10a24059b4e3c"
345337804	"Дверь Альта / Цвет Эмаль жемчуг / Двери Belwooddoors"	585280058	585280058	11746	"https://belwooddoors.ru/catalog/mezhkomnatnye_dveri/emal/narvika/alta-polotno-glukhoe-raspashnaya/"	"aaf063abf0c9c0b334c10a24059b4e3c"
