"ID товара"	"Название товара или услуги"	"Название товара в URL"	URL	"Краткое описание"	"Полное описание"	"Видимость на витрине"	"Применять скидки"	"Тег title"	"Мета-тег keywords"	"Мета-тег description"	"Размещение на сайте"	"Весовой коэффициент"	"Валюта склада"	НДС	"Единица измерения"	Габариты	Изображения	"Ссылка на видео"	"Свойство: Размер полотна"	"ID варианта"	Артикул	Штрих-код	"Габариты варианта"	"Цена продажи"	"Старая цена"	"Цена закупки"	Остаток	Вес	"Изображения варианта"	"Параметр: Производитель"	"Параметр: Ссылка на донер"
	"KAPELLI classic Гладкая Белая"	kapelli-classic-gladkaya-belaya		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/c83/c83e92927e46f083f2c3734742ae64e2.jpeg		"600х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
	"KAPELLI classic Гладкая Белая"	kapelli-classic-gladkaya-belaya		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/c83/c83e92927e46f083f2c3734742ae64e2.jpeg		"700х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
	"KAPELLI classic Гладкая Белая"	kapelli-classic-gladkaya-belaya		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/c83/c83e92927e46f083f2c3734742ae64e2.jpeg		"800х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
	"KAPELLI classic Гладкая Белая"	kapelli-classic-gladkaya-belaya		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/c83/c83e92927e46f083f2c3734742ae64e2.jpeg		"900х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
	"KAPELLI classic Гладкая Дуб венге"	kapelli-classic-gladkaya-dub-venge		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/e44/e4485cd0098eb851e0d722dcac970398.jpeg		"600х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
	"KAPELLI classic Гладкая Дуб венге"	kapelli-classic-gladkaya-dub-venge		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/e44/e4485cd0098eb851e0d722dcac970398.jpeg		"700х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
	"KAPELLI classic Гладкая Дуб венге"	kapelli-classic-gladkaya-dub-venge		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/e44/e4485cd0098eb851e0d722dcac970398.jpeg		"800х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
	"KAPELLI classic Гладкая Дуб венге"	kapelli-classic-gladkaya-dub-venge		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/e44/e4485cd0098eb851e0d722dcac970398.jpeg		"900х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
	"KAPELLI classic Гладкая Орех миланский"	kapelli-classic-gladkaya-oreh-milanskiy		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/428/42884bec4854db08fff8d27fd3bd0eff.jpeg		"600х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
	"KAPELLI classic Гладкая Орех миланский"	kapelli-classic-gladkaya-oreh-milanskiy		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/428/42884bec4854db08fff8d27fd3bd0eff.jpeg		"700х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
	"KAPELLI classic Гладкая Орех миланский"	kapelli-classic-gladkaya-oreh-milanskiy		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/428/42884bec4854db08fff8d27fd3bd0eff.jpeg		"800х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
	"KAPELLI classic Гладкая Орех миланский"	kapelli-classic-gladkaya-oreh-milanskiy		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/428/42884bec4854db08fff8d27fd3bd0eff.jpeg		"900х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
	"KAPELLI classic Гладкая Орех итальянский"	kapelli-classic-gladkaya-oreh-italyanskiy		"<div class=""card__subtitle"">Базовый комплект:</div><div>Дверное полотно (с заводской зарезкой под замок и отверстие для ручки)</div><div>Дверная коробка (зарезана и собрана в размер полотна)</div>"	"<div class=""construct__title"">КОНСТРУКЦИЯ ДВЕРЕЙ KAPELLI CLASSIC</div><div class=""construct__info"">
                <ol>
                                            <li>Элемент несущего каркаса выполнен из влагостойкого материала LVL брус</li>
                                            <li>Наполнитель - пенополистирол экструзионный</li>
                                            <li>Кромочная ПВХ лента</li>
                                            <li>Облицовочный ПВХ лист 1.5 мм</li>
                                            <li>Вставка под механизм замка</li>
                                            <li>Телескопическая дверная коробка из экструдированного ПВХ</li>
                                            <li>Уплотнитель</li>
                                            <li>Наличник L42</li>
                                            <li>Наличник L32</li>
                                    </ol>
            </div>"	выставлен	да						RUR	"Без НДС"	шт		https://kapelli-doors.ru/upload/iblock/3e0/3e0dd061729211d349582f79004fa4e5.jpeg		"600х38х2000 мм"								100			"KAPELLI "	https://kapelli-doors.ru/catalog/kapelli-classic/kapelli-classic-gladkaya/
